Időpont,Nettó terhelés,Nettó rendszerterhelés becslés (dayahead)
2021.01.01 00:15:00 +0100,4252.516,4153.563
2021.01.01 00:30:00 +0100,4180.018,4104.622
2021.01.01 00:45:00 +0100,4127.814,4059.157
2021.01.01 01:00:00 +0100,4063.757,4004.046
2021.01.01 01:15:00 +0100,4011.371,3961.679
2021.01.01 01:30:00 +0100,3948.472,3904.559
2021.01.01 01:45:00 +0100,3896.552,3848.659
2021.01.01 02:00:00 +0100,3810.188,3844.19
2021.01.01 02:15:00 +0100,3726.098,3767.468
2021.01.01 02:30:00 +0100,3685.218,3712.627
2021.01.01 02:45:00 +0100,3608.28,3619.625
2021.01.01 03:00:00 +0100,3556.583,3564.656
2021.01.01 03:15:00 +0100,3520.887,3512.63
2021.01.01 03:30:00 +0100,3476.344,3434.516
2021.01.01 03:45:00 +0100,3459.011,3388.579
2021.01.01 04:00:00 +0100,3434.503,3343.388
2021.01.01 04:15:00 +0100,3436.197,3338.018
2021.01.01 04:30:00 +0100,3445.214,3332.574
2021.01.01 04:45:00 +0100,3448.871,3322.461
2021.01.01 05:00:00 +0100,3460.376,3286.222
2021.01.01 05:15:00 +0100,3474.391,3284.451
2021.01.01 05:30:00 +0100,3486.27,3271.742
2021.01.01 05:45:00 +0100,3501.844,3280.522
2021.01.01 06:00:00 +0100,3499.062,3276.198
2021.01.01 06:15:00 +0100,3562.948,3362.062
2021.01.01 06:30:00 +0100,3589.674,3399.13
2021.01.01 06:45:00 +0100,3623.028,3438.062
2021.01.01 07:00:00 +0100,3638.522,3462.162
2021.01.01 07:15:00 +0100,3672.43,3505.991
2021.01.01 07:30:00 +0100,3641.849,3485.28
2021.01.01 07:45:00 +0100,3670.606,3519.734
2021.01.01 08:00:00 +0100,3692.393,3544.087
2021.01.01 08:15:00 +0100,3703.994,3573.11
2021.01.01 08:30:00 +0100,3734.972,3597.418
2021.01.01 08:45:00 +0100,3765.662,3622.826
2021.01.01 09:00:00 +0100,3797.87,3656.053
2021.01.01 09:15:00 +0100,3843.162,3679.547
2021.01.01 09:30:00 +0100,3877.865,3694.058
2021.01.01 09:45:00 +0100,3918.808,3714.702
2021.01.01 10:00:00 +0100,3956.035,3722.455
2021.01.01 10:15:00 +0100,4031.867,3749.99
2021.01.01 10:30:00 +0100,4056.726,3758.217
2021.01.01 10:45:00 +0100,4077.919,3759.416
2021.01.01 11:00:00 +0100,4090.178,3767.835
2021.01.01 11:15:00 +0100,4118.268,3783.283
2021.01.01 11:30:00 +0100,4182.658,3811.618
2021.01.01 11:45:00 +0100,4214.871,3845.355
2021.01.01 12:00:00 +0100,4244.776,3883.235
2021.01.01 12:15:00 +0100,4259.831,3903.491
2021.01.01 12:30:00 +0100,4250.054,3897.927
2021.01.01 12:45:00 +0100,4236.387,3890.35
2021.01.01 13:00:00 +0100,4217.998,3893.593
2021.01.01 13:15:00 +0100,4216.575,3898.534
2021.01.01 13:30:00 +0100,4201.923,3897.062
2021.01.01 13:45:00 +0100,4183.309,3882.561
2021.01.01 14:00:00 +0100,4183.962,3891.791
2021.01.01 14:15:00 +0100,4265.607,3952.421
2021.01.01 14:30:00 +0100,4261.547,3944.649
2021.01.01 14:45:00 +0100,4271.764,3970.664
2021.01.01 15:00:00 +0100,4272.284,4014.272
2021.01.01 15:15:00 +0100,4283.298,4033.735
2021.01.01 15:30:00 +0100,4296.068,4048.791
2021.01.01 15:45:00 +0100,4331.06,4097.728
2021.01.01 16:00:00 +0100,4379.553,4174.812
2021.01.01 16:15:00 +0100,4450.678,4281.362
2021.01.01 16:30:00 +0100,4549.457,4417.524
2021.01.01 16:45:00 +0100,4635.872,4552.681
2021.01.01 17:00:00 +0100,4648.817,4586.695
2021.01.01 17:15:00 +0100,4672.25,4615.621
2021.01.01 17:30:00 +0100,4654.542,4606.746
2021.01.01 17:45:00 +0100,4634.238,4600.408
2021.01.01 18:00:00 +0100,4632.378,4594.413
2021.01.01 18:15:00 +0100,4656.714,4570.789
2021.01.01 18:30:00 +0100,4639.656,4566.295
2021.01.01 18:45:00 +0100,4643.223,4567.188
2021.01.01 19:00:00 +0100,4643.943,4590.37
2021.01.01 19:15:00 +0100,4651.725,4599.647
2021.01.01 19:30:00 +0100,4630.99,4594.836
2021.01.01 19:45:00 +0100,4625.053,4601.459
2021.01.01 20:00:00 +0100,4606.229,4594.65
2021.01.01 20:15:00 +0100,4576.092,4564.798
2021.01.01 20:30:00 +0100,4567.71,4537.803
2021.01.01 20:45:00 +0100,4561.621,4524.032
2021.01.01 21:00:00 +0100,4498.944,4477.26
2021.01.01 21:15:00 +0100,4469.064,4434.864
2021.01.01 21:30:00 +0100,4445.979,4402.054
2021.01.01 21:45:00 +0100,4405.093,4358.712
2021.01.01 22:00:00 +0100,4366.882,4312.6
2021.01.01 22:15:00 +0100,4316.992,4254.679
2021.01.01 22:30:00 +0100,4269.555,4210.301
2021.01.01 22:45:00 +0100,4233.755,4178.761
2021.01.01 23:00:00 +0100,4157.353,4124.725
2021.01.01 23:15:00 +0100,4109.492,4073.889
2021.01.01 23:30:00 +0100,4036.756,3987.682
2021.01.01 23:45:00 +0100,4006.491,3955.441
2021.01.02 00:00:00 +0100,3938.669,3877.435
2021.01.02 00:15:00 +0100,3812.564,3786.299
2021.01.02 00:30:00 +0100,3770.083,3698.717
2021.01.02 00:45:00 +0100,3749.935,3610.292
2021.01.02 01:00:00 +0100,3692.223,3554.371
2021.01.02 01:15:00 +0100,3664.854,3531.403
2021.01.02 01:30:00 +0100,3633.321,3467.575
2021.01.02 01:45:00 +0100,3604.624,3442.435
2021.01.02 02:00:00 +0100,3547.421,3460.203
2021.01.02 02:15:00 +0100,3502.046,3397.683
2021.01.02 02:30:00 +0100,3484.257,3357.77
2021.01.02 02:45:00 +0100,3442.815,3308.814
2021.01.02 03:00:00 +0100,3415.05,3291.328
2021.01.02 03:15:00 +0100,3406.681,3257.649
2021.01.02 03:30:00 +0100,3391.382,3197.848
2021.01.02 03:45:00 +0100,3381.95,3195.168
2021.01.02 04:00:00 +0100,3376.009,3182.848
2021.01.02 04:15:00 +0100,3404.601,3200.888
2021.01.02 04:30:00 +0100,3425.693,3226.852
2021.01.02 04:45:00 +0100,3451.982,3231.165
2021.01.02 05:00:00 +0100,3493.492,3249.439
2021.01.02 05:15:00 +0100,3547.999,3297.85
2021.01.02 05:30:00 +0100,3580.485,3328.994
2021.01.02 05:45:00 +0100,3619.689,3382.766
2021.01.02 06:00:00 +0100,3651.289,3428.667
2021.01.02 06:15:00 +0100,3760.008,3511.684
2021.01.02 06:30:00 +0100,3816.504,3584.744
2021.01.02 06:45:00 +0100,3870.647,3656.626
2021.01.02 07:00:00 +0100,3916.021,3695.983
2021.01.02 07:15:00 +0100,3990.132,3755.098
2021.01.02 07:30:00 +0100,3988.298,3824.615
2021.01.02 07:45:00 +0100,4053.233,3927.706
2021.01.02 08:00:00 +0100,4111.905,4020.676
2021.01.02 08:15:00 +0100,4200.697,4104.104
2021.01.02 08:30:00 +0100,4277.206,4208.469
2021.01.02 08:45:00 +0100,4345.643,4281.76
2021.01.02 09:00:00 +0100,4410.871,4347.675
2021.01.02 09:15:00 +0100,4482.435,4441.48
2021.01.02 09:30:00 +0100,4536.75,4506.288
2021.01.02 09:45:00 +0100,4577.587,4572.091
2021.01.02 10:00:00 +0100,4608.788,4615.834
2021.01.02 10:15:00 +0100,4633.198,4660.021
2021.01.02 10:30:00 +0100,4648.512,4691.645
2021.01.02 10:45:00 +0100,4659.284,4737.902
2021.01.02 11:00:00 +0100,4664.207,4787.115
2021.01.02 11:15:00 +0100,4672.163,4827.781
2021.01.02 11:30:00 +0100,4705.118,4885.653
2021.01.02 11:45:00 +0100,4731.694,4905.894
2021.01.02 12:00:00 +0100,4752.344,4921.476
2021.01.02 12:15:00 +0100,4768.458,4941.381
2021.01.02 12:30:00 +0100,4747.643,4943.501
2021.01.02 12:45:00 +0100,4736.052,4927.4
2021.01.02 13:00:00 +0100,4720.964,4907.565
2021.01.02 13:15:00 +0100,4707.681,4902.003
2021.01.02 13:30:00 +0100,4703.159,4877.419
2021.01.02 13:45:00 +0100,4691.761,4856.32
2021.01.02 14:00:00 +0100,4664.66,4828.099
2021.01.02 14:15:00 +0100,4707.784,4835.779
2021.01.02 14:30:00 +0100,4710.011,4831.013
2021.01.02 14:45:00 +0100,4732.707,4825.886
2021.01.02 15:00:00 +0100,4747.567,4832.229
2021.01.02 15:15:00 +0100,4764.167,4867.807
2021.01.02 15:30:00 +0100,4787.627,4844.476
2021.01.02 15:45:00 +0100,4811.873,4850.758
2021.01.02 16:00:00 +0100,4871.236,4892.657
2021.01.02 16:15:00 +0100,4953.262,4955.419
2021.01.02 16:30:00 +0100,5053.413,5085.046
2021.01.02 16:45:00 +0100,5148.288,5164.601
2021.01.02 17:00:00 +0100,5155.359,5170.245
2021.01.02 17:15:00 +0100,5167.668,5171.994
2021.01.02 17:30:00 +0100,5136.182,5149.38
2021.01.02 17:45:00 +0100,5118.148,5132.813
2021.01.02 18:00:00 +0100,5090.768,5116.497
2021.01.02 18:15:00 +0100,5067.37,5104.304
2021.01.02 18:30:00 +0100,5038.346,5071.851
2021.01.02 18:45:00 +0100,5032.365,5081.817
2021.01.02 19:00:00 +0100,5027.235,5049.561
2021.01.02 19:15:00 +0100,5014.763,5033.462
2021.01.02 19:30:00 +0100,4991.601,5022.111
2021.01.02 19:45:00 +0100,4966.532,5005.841
2021.01.02 20:00:00 +0100,4967.999,4971.221
2021.01.02 20:15:00 +0100,4928.83,4954.318
2021.01.02 20:30:00 +0100,4901.828,4917.872
2021.01.02 20:45:00 +0100,4892.942,4903.349
2021.01.02 21:00:00 +0100,4831.62,4849.488
2021.01.02 21:15:00 +0100,4773.928,4779.627
2021.01.02 21:30:00 +0100,4753.549,4743.344
2021.01.02 21:45:00 +0100,4667.547,4670.755
2021.01.02 22:00:00 +0100,4601.539,4579.787
2021.01.02 22:15:00 +0100,4544.774,4519.407
2021.01.02 22:30:00 +0100,4512.18,4454.441
2021.01.02 22:45:00 +0100,4464.818,4406.881
2021.01.02 23:00:00 +0100,4402.36,4350.768
2021.01.02 23:15:00 +0100,4348.945,4293.875
2021.01.02 23:30:00 +0100,4272.22,4181.318
2021.01.02 23:45:00 +0100,4234.487,4083.252
2021.01.03 00:00:00 +0100,4172.46,4004.649
2021.01.03 00:15:00 +0100,4018.576,3839.831
2021.01.03 00:30:00 +0100,3955.149,3765.621
2021.01.03 00:45:00 +0100,3944.244,3711.79
2021.01.03 01:00:00 +0100,3892.432,3639.566
2021.01.03 01:15:00 +0100,3870.221,3553.742
2021.01.03 01:30:00 +0100,3827.158,3502.274
2021.01.03 01:45:00 +0100,3782.571,3458.585
2021.01.03 02:00:00 +0100,3710.698,3411.387
2021.01.03 02:15:00 +0100,3657.571,3393.393
2021.01.03 02:30:00 +0100,3641.612,3353.804
2021.01.03 02:45:00 +0100,3594.683,3294.583
2021.01.03 03:00:00 +0100,3573.651,3284.501
2021.01.03 03:15:00 +0100,3558.068,3257.945
2021.01.03 03:30:00 +0100,3530.522,3212.294
2021.01.03 03:45:00 +0100,3515.01,3198.422
2021.01.03 04:00:00 +0100,3500.878,3180.662
2021.01.03 04:15:00 +0100,3528.922,3185.563
2021.01.03 04:30:00 +0100,3539.076,3218.687
2021.01.03 04:45:00 +0100,3566.233,3232.589
2021.01.03 05:00:00 +0100,3585.755,3222.193
2021.01.03 05:15:00 +0100,3618.672,3249.75
2021.01.03 05:30:00 +0100,3632.026,3263.228
2021.01.03 05:45:00 +0100,3652.735,3303.691
2021.01.03 06:00:00 +0100,3661.731,3337.208
2021.01.03 06:15:00 +0100,3771.62,3432.682
2021.01.03 06:30:00 +0100,3827.547,3490.545
2021.01.03 06:45:00 +0100,3885.746,3528.164
2021.01.03 07:00:00 +0100,3933.831,3523.348
2021.01.03 07:15:00 +0100,3994.481,3603.405
2021.01.03 07:30:00 +0100,3997.661,3644.955
2021.01.03 07:45:00 +0100,4037.649,3726.289
2021.01.03 08:00:00 +0100,4100.48,3787.893
2021.01.03 08:15:00 +0100,4172.919,3879.215
2021.01.03 08:30:00 +0100,4239.094,3958.526
2021.01.03 08:45:00 +0100,4324.221,4023.879
2021.01.03 09:00:00 +0100,4413.722,4063.627
2021.01.03 09:15:00 +0100,4535.419,4119.006
2021.01.03 09:30:00 +0100,4629.364,4133.164
2021.01.03 09:45:00 +0100,4712.845,4135.983
2021.01.03 10:00:00 +0100,4783.945,4178.025
2021.01.03 10:15:00 +0100,4840.994,4212.848
2021.01.03 10:30:00 +0100,4891.354,4261.985
2021.01.03 10:45:00 +0100,4931.318,4289.001
2021.01.03 11:00:00 +0100,4948.791,4310.022
2021.01.03 11:15:00 +0100,4972.435,4346.985
2021.01.03 11:30:00 +0100,5017.738,4386.291
2021.01.03 11:45:00 +0100,5028.639,4400.997
2021.01.03 12:00:00 +0100,5048.15,4425.234
2021.01.03 12:15:00 +0100,5036.714,4435.217
2021.01.03 12:30:00 +0100,5016.972,4432.732
2021.01.03 12:45:00 +0100,4980.073,4422.474
2021.01.03 13:00:00 +0100,4927.858,4377.052
2021.01.03 13:15:00 +0100,4898.326,4308.199
2021.01.03 13:30:00 +0100,4853.141,4264.301
2021.01.03 13:45:00 +0100,4812.563,4214.614
2021.01.03 14:00:00 +0100,4780.872,4156.772
2021.01.03 14:15:00 +0100,4820.198,4195.78
2021.01.03 14:30:00 +0100,4822.079,4170.514
2021.01.03 14:45:00 +0100,4819.631,4178.501
2021.01.03 15:00:00 +0100,4816.891,4184.71
2021.01.03 15:15:00 +0100,4825.091,4188.278
2021.01.03 15:30:00 +0100,4846.24,4210.763
2021.01.03 15:45:00 +0100,4877.345,4235.672
2021.01.03 16:00:00 +0100,4914.448,4285.379
2021.01.03 16:15:00 +0100,4991.467,4388.729
2021.01.03 16:30:00 +0100,5097.766,4559.563
2021.01.03 16:45:00 +0100,5193.975,4725.366
2021.01.03 17:00:00 +0100,5224.044,4860.3
2021.01.03 17:15:00 +0100,5234.314,4893.655
2021.01.03 17:30:00 +0100,5215.729,4873.578
2021.01.03 17:45:00 +0100,5215.747,4870.163
2021.01.03 18:00:00 +0100,5200.156,4855.351
2021.01.03 18:15:00 +0100,5194.044,4821.676
2021.01.03 18:30:00 +0100,5176.161,4803.235
2021.01.03 18:45:00 +0100,5165.252,4781.487
2021.01.03 19:00:00 +0100,5174.354,4782.987
2021.01.03 19:15:00 +0100,5155.388,4775.314
2021.01.03 19:30:00 +0100,5121.143,4752.897
2021.01.03 19:45:00 +0100,5093.699,4747.774
2021.01.03 20:00:00 +0100,5088.211,4734.874
2021.01.03 20:15:00 +0100,5041.247,4710.964
2021.01.03 20:30:00 +0100,5000.051,4701.248
2021.01.03 20:45:00 +0100,4974.124,4692.139
2021.01.03 21:00:00 +0100,4909.57,4648.127
2021.01.03 21:15:00 +0100,4840.538,4608.251
2021.01.03 21:30:00 +0100,4811.866,4589.052
2021.01.03 21:45:00 +0100,4732.646,4514.895
2021.01.03 22:00:00 +0100,4647.703,4427.39
2021.01.03 22:15:00 +0100,4589.839,4387.684
2021.01.03 22:30:00 +0100,4541.344,4328.884
2021.01.03 22:45:00 +0100,4504.573,4283.569
2021.01.03 23:00:00 +0100,4426.884,4224.365
2021.01.03 23:15:00 +0100,4357.234,4176.35
2021.01.03 23:30:00 +0100,4280.659,4103.281
2021.01.03 23:45:00 +0100,4250.543,4076.435
2021.01.04 00:00:00 +0100,4188.33,4006.435
2021.01.04 00:15:00 +0100,4056.844,3905.106
2021.01.04 00:30:00 +0100,4000.109,3852.287
2021.01.04 00:45:00 +0100,3977.6,3810.34
2021.01.04 01:00:00 +0100,3931.856,3749.673
2021.01.04 01:15:00 +0100,3913.471,3731.869
2021.01.04 01:30:00 +0100,3881.597,3688.047
2021.01.04 01:45:00 +0100,3861.408,3676.597
2021.01.04 02:00:00 +0100,3813.089,3683.898
2021.01.04 02:15:00 +0100,3763.024,3623.765
2021.01.04 02:30:00 +0100,3742.299,3586.874
2021.01.04 02:45:00 +0100,3705.874,3536.089
2021.01.04 03:00:00 +0100,3683.846,3525.759
2021.01.04 03:15:00 +0100,3674.782,3529.051
2021.01.04 03:30:00 +0100,3656.619,3446.964
2021.01.04 03:45:00 +0100,3665.329,3452.619
2021.01.04 04:00:00 +0100,3665.293,3438.852
2021.01.04 04:15:00 +0100,3710.948,3505.526
2021.01.04 04:30:00 +0100,3757.442,3552.526
2021.01.04 04:45:00 +0100,3810.059,3598.526
2021.01.04 05:00:00 +0100,3884.996,3688.526
2021.01.04 05:15:00 +0100,4013.323,3740.915
2021.01.04 05:30:00 +0100,4108.12,3835.3
2021.01.04 05:45:00 +0100,4234.948,4007.462
2021.01.04 06:00:00 +0100,4376.111,4168.763
2021.01.04 06:15:00 +0100,4675.314,4447.085
2021.01.04 06:30:00 +0100,4881.7,4684.667
2021.01.04 06:45:00 +0100,5037.17,4874.3
2021.01.04 07:00:00 +0100,5161.088,5013.894
2021.01.04 07:15:00 +0100,5306.739,5101.095
2021.01.04 07:30:00 +0100,5332.055,5109.927
2021.01.04 07:45:00 +0100,5387.261,5185.577
2021.01.04 08:00:00 +0100,5434.124,5195.524
2021.01.04 08:15:00 +0100,5489.683,5202.598
2021.01.04 08:30:00 +0100,5548.81,5272.954
2021.01.04 08:45:00 +0100,5604.576,5325.549
2021.01.04 09:00:00 +0100,5633.191,5331.591
2021.01.04 09:15:00 +0100,5691.519,5377.31
2021.01.04 09:30:00 +0100,5710.589,5401.191
2021.01.04 09:45:00 +0100,5723.427,5421.398
2021.01.04 10:00:00 +0100,5727.76,5431.328
2021.01.04 10:15:00 +0100,5738.666,5445.735
2021.01.04 10:30:00 +0100,5767.105,5468.237
2021.01.04 10:45:00 +0100,5783.995,5495.684
2021.01.04 11:00:00 +0100,5786.092,5498.073
2021.01.04 11:15:00 +0100,5804.922,5526.033
2021.01.04 11:30:00 +0100,5839.934,5571.899
2021.01.04 11:45:00 +0100,5863.034,5604.969
2021.01.04 12:00:00 +0100,5900.828,5626.808
2021.01.04 12:15:00 +0100,5918.097,5650.531
2021.01.04 12:30:00 +0100,5923.556,5652.755
2021.01.04 12:45:00 +0100,5937.306,5653.652
2021.01.04 13:00:00 +0100,5907.006,5630.961
2021.01.04 13:15:00 +0100,5916.251,5644.211
2021.01.04 13:30:00 +0100,5887.34,5633.95
2021.01.04 13:45:00 +0100,5841.957,5601.284
2021.01.04 14:00:00 +0100,5775.913,5537.123
2021.01.04 14:15:00 +0100,5811.554,5569.595
2021.01.04 14:30:00 +0100,5804.098,5569.613
2021.01.04 14:45:00 +0100,5840.506,5603.115
2021.01.04 15:00:00 +0100,5847.486,5558.696
2021.01.04 15:15:00 +0100,5859.611,5574.029
2021.01.04 15:30:00 +0100,5844.251,5577.887
2021.01.04 15:45:00 +0100,5885.44,5589.751
2021.01.04 16:00:00 +0100,5897.361,5609.237
2021.01.04 16:15:00 +0100,5898.198,5589.956
2021.01.04 16:30:00 +0100,5991.046,5697.342
2021.01.04 16:45:00 +0100,6065.027,5746.085
2021.01.04 17:00:00 +0100,6069.013,5809.951
2021.01.04 17:15:00 +0100,6053.128,5816.759
2021.01.04 17:30:00 +0100,6015.166,5780.115
2021.01.04 17:45:00 +0100,5974.614,5741.759
2021.01.04 18:00:00 +0100,5949.843,5724.94
2021.01.04 18:15:00 +0100,5884.502,5693.568
2021.01.04 18:30:00 +0100,5889.569,5678.033
2021.01.04 18:45:00 +0100,5883.198,5672.693
2021.01.04 19:00:00 +0100,5876.098,5678.515
2021.01.04 19:15:00 +0100,5847.917,5638.431
2021.01.04 19:30:00 +0100,5770.337,5580.036
2021.01.04 19:45:00 +0100,5734.867,5544.588
2021.01.04 20:00:00 +0100,5699.381,5486.952
2021.01.04 20:15:00 +0100,5626.377,5448.468
2021.01.04 20:30:00 +0100,5556.944,5406.196
2021.01.04 20:45:00 +0100,5534.739,5393.686
2021.01.04 21:00:00 +0100,5473.117,5342.926
2021.01.04 21:15:00 +0100,5422.847,5313.792
2021.01.04 21:30:00 +0100,5410.304,5291.129
2021.01.04 21:45:00 +0100,5330.777,5202.03
2021.01.04 22:00:00 +0100,5232.738,5102.199
2021.01.04 22:15:00 +0100,5169.682,5030.734
2021.01.04 22:30:00 +0100,5165.549,4985.883
2021.01.04 22:45:00 +0100,5150.756,4949.454
2021.01.04 23:00:00 +0100,5088.295,4887.3
2021.01.04 23:15:00 +0100,5019.543,4808.329
2021.01.04 23:30:00 +0100,4918.782,4702.606
2021.01.04 23:45:00 +0100,4913.143,4648.989
2021.01.05 00:00:00 +0100,4854.409,4571.877
2021.01.05 00:15:00 +0100,4705.793,4532.269
2021.01.05 00:30:00 +0100,4632.527,4452.24
2021.01.05 00:45:00 +0100,4595.696,4375.994
2021.01.05 01:00:00 +0100,4514.556,4396.144
2021.01.05 01:15:00 +0100,4468.876,4389.004
2021.01.05 01:30:00 +0100,4434.74,4314.977
2021.01.05 01:45:00 +0100,4396.674,4246.913
2021.01.05 02:00:00 +0100,4326.997,4216.333
2021.01.05 02:15:00 +0100,4259.27,4125.887
2021.01.05 02:30:00 +0100,4224.352,4049.936
2021.01.05 02:45:00 +0100,4194.396,3989.138
2021.01.05 03:00:00 +0100,4173.651,3935.737
2021.01.05 03:15:00 +0100,4170.536,3904.505
2021.01.05 03:30:00 +0100,4140.319,3897.349
2021.01.05 03:45:00 +0100,4133.848,3893.022
2021.01.05 04:00:00 +0100,4127.818,3893.501
2021.01.05 04:15:00 +0100,4174.177,3927.655
2021.01.05 04:30:00 +0100,4209.514,3971.655
2021.01.05 04:45:00 +0100,4251.088,4008.655
2021.01.05 05:00:00 +0100,4330.436,4097.655
2021.01.05 05:15:00 +0100,4439.79,4221.655
2021.01.05 05:30:00 +0100,4510.98,4353.655
2021.01.05 05:45:00 +0100,4613.346,4476.655
